stream_id,streamer_name,platform,game_name,category,viewer_count,follower_count,language,start_time,capture_time,stream_title,platform_id,game_id
hElfQnGktvg,SIZU JI LIVE,YouTube,FREE FIRE GIRL LIVE | UNLIMITED CUSTOM ROOM |GUILD TEST 1V1 |TEAMCODE GIVEAWAY #freefirelive #fflive,,4,310000,,2025-07-07T06:51:58Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE GIRL LIVE | UNLIMITED CUSTOM ROOM |GUILD TEST 1V1 |TEAMCODE GIVEAWAY #freefirelive #fflive,UCSJ5Tp9_OFyJ5555MT1Zv8g,
w77CuvDqrWM,A ONE DEMON,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,6,325000,,2025-08-06T07:56:24Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCiAT0X3gqqEXWWyLAceJMiQ,
Gvl4ut7xJdg,Harry Gaming,YouTube,🔴Live Stream🔴Join Karo Harry Gaming 369❤️💀‼️,,6,31800,,2025-11-23T11:48:59Z,2025-11-23T13:48:10.724972+00:00,🔴Live Stream🔴Join Karo Harry Gaming 369❤️💀‼️,UCERU8k1tSGnZHTK5LTnPhGg,
Okuq4BBFK4k,Yours Smart TV,YouTube,tpg gaming live / pubg mobile live /vertical game live,,5,6890,,2025-11-23T12:00:59Z,2025-11-23T13:48:10.724972+00:00,tpg gaming live / pubg mobile live /vertical game live,UCPK7orxD7g6vWJgJMTyZMxg,
KjJnbYfp1EA,Irfan Esports Official,YouTube,🔥 Free Fire Live 🔴 | Intense Squad Clash | Bangladesh Gaming Live 2025,,4,3120,,2025-11-23T13:00:47Z,2025-11-23T13:48:10.724972+00:00,🔥 Free Fire Live 🔴 | Intense Squad Clash | Bangladesh Gaming Live 2025,UCDxNfwFy3EZGm7OUVVzjS0w,
ONzinckp-9Y,NATSU YT ,YouTube,Genshin + Valo stream | Valorant Live India | #valorant #gaming #live,,4,2520,,2025-11-23T10:54:53Z,2025-11-23T13:48:10.724972+00:00,Genshin + Valo stream | Valorant Live India | #valorant #gaming #live,UCYK5OyQZ6-7P_HXhxyHOY8g,
nzX1wx1IRLg,XEROX FF,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY| FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,2,183000,,2025-06-28T04:36:28Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY| FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCSclTvUZCQbe-tEu47se05g,
XLy2hKRcPRQ,Ulysses Perry,YouTube,Chillin &amp; Gaming Live 10/23/25 Fortnite Simpsons,,3,1210,,2025-11-23T12:04:27Z,2025-11-23T13:48:10.724972+00:00,Chillin &amp; Gaming Live 10/23/25 Fortnite Simpsons,UCzAY2XrHIjZre7_8XvsYeUg,
5akaWmWQehc,Kristopers Brown,YouTube,ROBLOX MLM #roblox #gaming #live #streaming,,3,1620,,2025-11-23T13:11:34Z,2025-11-23T13:48:10.724972+00:00,ROBLOX MLM #roblox #gaming #live #streaming,UC2CUlX4pGxhLAEdgMSLJSKA,
eVHBkE8uf9Y, KBN KURBAN GAMING ,YouTube,KURBAN IS LIVE STREAM 😱 FREE FIRE MAX KURBAN GAMING ✨😱,,1,380,,2025-11-23T12:41:35Z,2025-11-23T13:48:10.724972+00:00,KURBAN IS LIVE STREAM 😱 FREE FIRE MAX KURBAN GAMING ✨😱,UCsQ-eFCZ57eQ2gjJdgs-Xcw,
mDID2fvRvyY,Wish Gaming,YouTube,TRAIL CHALLENGE IS BACK WITH WISH GAMING|4.1 UPDATE|BGMI LIVE | WISH GAMIG LIVE | WISH GAMING,,4,941,,2025-11-23T09:40:25Z,2025-11-23T13:48:10.724972+00:00,TRAIL CHALLENGE IS BACK WITH WISH GAMING|4.1 UPDATE|BGMI LIVE | WISH GAMIG LIVE | WISH GAMING,UCktaysoVZws-MIKxununLkQ,
